model,seed,split,task,mae,rmse
magn_prior_residual,1,val,PF,0.05631433082795371,0.08150339196070173
magn_prior_residual,1,val,MA,0.01126286634208639,0.016300678621827474
magn_prior_residual,1,val,GAP,0.07086162789434683,0.09354621709022526
magn_prior_residual,1,test,PF,0.051633260193896496,0.07514915550564487
magn_prior_residual,1,test,MA,0.010326652212588053,0.015029831359400189
magn_prior_residual,1,test,GAP,0.0629356866639297,0.08283837356001529
magn_prior_residual,2,val,PF,0.05628292147029456,0.08166170038176021
magn_prior_residual,2,val,MA,0.011256584463825168,0.01633234029682456
magn_prior_residual,2,val,GAP,0.06675895310714433,0.09019384484936363
magn_prior_residual,2,test,PF,0.052735490572907155,0.07567951254843311
magn_prior_residual,2,test,MA,0.010547098330249036,0.015135902825970325
magn_prior_residual,2,test,GAP,0.05455315325009284,0.07523339559962333
magn_prior_residual,3,val,PF,0.05723592536040465,0.0815863027056668
magn_prior_residual,3,val,MA,0.011447185231452233,0.0163172607515953
magn_prior_residual,3,val,GAP,0.06612157547144128,0.08984370515957762
magn_prior_residual,3,test,PF,0.05479435820374533,0.07693907679751638
magn_prior_residual,3,test,MA,0.010958871804375075,0.015387815618586678
magn_prior_residual,3,test,GAP,0.05402044844050697,0.07489901678328895
magn_prior_residual,4,val,PF,0.05662383639808398,0.08134198573232379
magn_prior_residual,4,val,MA,0.01132476744154542,0.016268397369966305
magn_prior_residual,4,val,GAP,0.07236196631005878,0.09479293977860985
magn_prior_residual,4,test,PF,0.052575966573746524,0.07559293300561466
magn_prior_residual,4,test,MA,0.010515193467401363,0.015118586847414475
magn_prior_residual,4,test,GAP,0.06355820468253336,0.08345382975758735
magn_prior_residual,5,val,PF,0.056326549479870196,0.08148841933268826
magn_prior_residual,5,val,MA,0.011265310074640546,0.01629768413296614
magn_prior_residual,5,val,GAP,0.06817344443394187,0.09132548254378167
magn_prior_residual,5,test,PF,0.05170463519960137,0.0752122936355622
magn_prior_residual,5,test,MA,0.01034092721656737,0.015042458996590222
magn_prior_residual,5,test,GAP,0.05989902238808783,0.08005035507610235
